Timestamp,Action Type,Pool,User,Wallet Type,Tagged Name,Tokens In 1,Tokens In Amount 1,Tokens Out 1,Tokens Out Amount 1,Type,Value USD
1669202003000,AddLiquidityDualSyAndPt,FRAXUSDC_CurveLP Convex 30MAR2023,0x1fccc097db89a86bfc474a1028f93958295b1fb7,RETAIL,,0xd393d1ddd6b8811a86d925f5e14014282581bc04,185.373219,0x7b246b8dbc2a640bf2d8221890cee8327fc23917,185.465322,ADD_LIQUIDITY,368.74
1669202435000,AddLiquidityDualSyAndPt,LOOKS Staking 30MAR2023,0x1fccc097db89a86bfc474a1028f93958295b1fb7,RETAIL,,0x35c16314d6ee4753289e5cc15a5c5e1dd4ead345,890.082749,0x44474d98d1484c26e8d296a43a721998731cf775,1114.629431,ADD_LIQUIDITY,319.67
1669202879000,AddLiquidityDualSyAndPt,stETH 30MAR2023,0x1fccc097db89a86bfc474a1028f93958295b1fb7,RETAIL,,0xcbc72d92b2dc8187414f6734718563898740c0bc,0.136692,0x54e28e62ea9e8d755dc6e74674eabe2abfdb004e,0.143191,ADD_LIQUIDITY,331.9
1669203023000,AddLiquidityDualSyAndPt,stETH 29JUN2023,0x1fccc097db89a86bfc474a1028f93958295b1fb7,RETAIL,,0xcbc72d92b2dc8187414f6734718563898740c0bc,0.136692,0x9ec4c502d989f04ffa9312c9d6e3f872ec91a0f9,0.143191,ADD_LIQUIDITY,329.53
1669618607000,AddLiquidityDualTokenAndPt,FRAXUSDC_CurveLP Convex 30MAR2023,0x63f6d9e7d3953106bcaf98832bd9c88a54afcc9d,RETAIL,,0x5fe30ac5cb1abb0e44cdffb2916c254aeb368650,24883.63079,0x7b246b8dbc2a640bf2d8221890cee8327fc23917,24871.273472,ADD_LIQUIDITY,49540.16
1669620743000,AddLiquidityDualTokenAndPt,stETH 30MAR2023,0x63f6d9e7d3953106bcaf98832bd9c88a54afcc9d,RETAIL,,0xcf44e8402a99db82d2acccc4d9354657be2121db,49.749999,0x54e28e62ea9e8d755dc6e74674eabe2abfdb004e,47.491882,ADD_LIQUIDITY,116269.29
1669621151000,AddLiquidityDualTokenAndPt,stETH 29JUN2023,0x63f6d9e7d3953106bcaf98832bd9c88a54afcc9d,RETAIL,,0xb3b61d1587c05eadec579b616c45939f19435703,49.550999,0x9ec4c502d989f04ffa9312c9d6e3f872ec91a0f9,47.301914,ADD_LIQUIDITY,114978.25
1669626683000,AddLiquidityDualTokenAndPt,LOOKS Staking 30MAR2023,0x63f6d9e7d3953106bcaf98832bd9c88a54afcc9d,RETAIL,,0x293811f161fbfea8f417e222b226bb821548ba63,76411.838059,0x44474d98d1484c26e8d296a43a721998731cf775,61018.359127,ADD_LIQUIDITY,18875.14
1669725575000,AddLiquiditySingleToken,LOOKS Staking 30MAR2023,0xa6233b38d0dc0ae48896c583d3ee6f4f344d3de4,RETAIL,,0xf4d2888d29d722226fafa5d9b24f9164c092421e,20666.126749,0x44474d98d1484c26e8d296a43a721998731cf775,8638.423412,ADD_LIQUIDITY,2647.3
1669726271000,AddLiquiditySingleToken,stETH 29JUN2023,0x3cf1e953aae3a98f2358474a15da936c3ae1077e,RETAIL,,0x0000000000000000000000000000000000000000,0.5,0x9ec4c502d989f04ffa9312c9d6e3f872ec91a0f9,0.24249,ADD_LIQUIDITY,575.77
1669727219000,AddLiquiditySingleToken,LOOKS Staking 30MAR2023,0x367ba60585d9d491bbd269abe733c3cd7c545477,RETAIL,,0xf4d2888d29d722226fafa5d9b24f9164c092421e,46093.952477,0x44474d98d1484c26e8d296a43a721998731cf775,18844.290795,ADD_LIQUIDITY,5906.33
1669727327000,AddLiquiditySingleToken,FRAXUSDC_CurveLP Convex 30MAR2023,0x171ea6acdda2cb411e4763d71e91b10d96b64f81,RETAIL,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2980.000034,0x7b246b8dbc2a640bf2d8221890cee8327fc23917,1493.138468,ADD_LIQUIDITY,2976.5
1669727339000,SwapYtForToken,LOOKS Staking 30MAR2023,0x3ecd0359496f9a49a1b11eb50bb603c262ff4218,RETAIL,,0xc20dc81e8844f8ff154a67003849cea8e951dedc,31047.391497,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,500,SWAP_YT,467.05
